symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,-0.6169776766540871,-328.0,-3312.0,-328.0,-3312.0,W银河期货
AG,AG2504,0.6625409172086455,5500.0,62.0,-489.0,-25.0,L宏源期货
AL,AL2501,0.7689957033241988,16985.0,1479.0,1902.0,24.0,W海通期货
AL,AL2501,0.622116741305848,5955.0,1007.0,1369.0,845.0,W东证期货
AL,AL2501,-0.6148698910990716,5216.0,1.0,725.0,68.0,L南华期货
AL,AL2501,-0.6537620336617783,-9396.0,241.0,-2769.0,109.0,L中泰期货
AL,AL2502,-0.778113636065559,1311.0,61.0,3984.0,-395.0,L宏源期货
AL,AL2503,0.6508116153573253,-12283.0,491.0,-7471.0,-37.0,W银河期货
AL,AL2503,-0.6859018862735804,1871.0,-130.0,1213.0,100.0,W海证期货
AL,AL2503,-0.7294588081924896,16985.0,1479.0,1758.0,496.0,W海通期货
AL,AL2504,0.6129963759442963,1311.0,61.0,-933.0,-61.0,L宏源期货
AO,AO2501,0.6199273680769097,5290.0,291.0,5980.0,579.0,W永安期货
AO,AO2501,0.6047764134982685,18426.0,3758.0,8967.0,-1009.0,W国泰君安
AO,AO2501,-0.677447710974295,-6405.0,-1118.0,-2525.0,173.0,L徽商期货
AO,AO2501,-0.7907483031896172,-10714.0,-1228.0,-5402.0,-242.0,L东方财富
AO,AO2503,-0.8156598937368509,-433.0,-167.0,1514.0,-36.0,L宏源期货
AO,AO2505,0.6435377244799194,5290.0,291.0,-3016.0,-523.0,W永安期货
AP,AP2501,-0.6229402281991193,2971.0,751.0,-257.0,189.0,L徽商期货
AP,AP2505,0.6730015618591219,-2355.0,-1560.0,-2270.0,-1414.0,W银河期货
AU,AU2502,0.6532320100418569,8043.0,-474.0,3198.0,-432.0,W银河期货
AU,AU2502,0.6315353087474511,-483.0,-61.0,2998.0,-120.0,L中信建投
AU,AU2506,-0.6134626626055634,9198.0,1796.0,-1265.0,247.0,W国泰君安
B,B2505,0.8927640642819084,-8040.0,-1879.0,-8040.0,-1879.0,W乾坤期货
B,B2505,0.7832200280264606,-1253.0,-188.0,-1253.0,-188.0,L南华期货
B,B2505,0.7581745249122726,-20366.0,-496.0,-20366.0,-496.0,W摩根大通
B,B2505,-0.6926966760441617,4906.0,1152.0,4906.0,1152.0,W国泰君安
B,B2505,-0.7908016418606197,2228.0,111.0,2228.0,111.0,L新湖期货
B,B2505,-0.8047904628311573,3717.0,1564.0,3717.0,1564.0,L徽商期货
B,B2505,-0.9352685939976388,1824.0,706.0,1824.0,706.0,L东方财富
BR,BR2501,0.7530762250309785,166.0,-49.0,-208.0,-80.0,W银河期货
BR,BR2502,0.646062356321109,49.0,-974.0,95.0,-983.0,L中信建投
BR,BR2502,0.640497053077512,-468.0,-979.0,-218.0,-888.0,W东证期货
BR,BR2502,-0.6306773031914177,-1155.0,5.0,-1041.0,9.0,L南华期货
BR,BR2502,-0.6619397941205586,-6403.0,1804.0,-4111.0,1102.0,W国泰君安
C,C2501,0.8615308878652731,-3527.0,62.0,-3527.0,62.0,L宏源期货
C,C2501,-0.890455696467561,58117.0,-661.0,20622.0,-480.0,W申银万国
C,C2503,0.7798803112610649,-4054.0,6556.0,-9764.0,6773.0,L中泰期货
C,C2503,0.6708758829962451,-58503.0,8157.0,-33318.0,180.0,W国泰君安
C,C2503,-0.6343701196728609,38945.0,-2397.0,30846.0,55.0,W永安期货
C,C2503,-0.7558094338516479,13209.0,418.0,5459.0,1287.0,L中信建投
C,C2503,-0.8443572467592455,58117.0,-661.0,37495.0,-181.0,W申银万国
CF,CF2501,0.720243601026561,,,201.0,2221.0,W申银万国
CF,CF2501,-0.9071496869521664,,,-1765.0,598.0,L华安期货
CF,CF2503,0.7693335302890782,-14297.0,-4278.0,83.0,-71.0,W海证期货
CF,CF2503,0.6896368837625866,-5223.0,3690.0,-1158.0,-369.0,W东证期货
CF,CF2503,-0.6561846183770905,-1504.0,1558.0,467.0,-118.0,L广发期货
CF,CF2503,-0.661926249264665,,,425.0,-1.0,L宏源期货
CF,CF2505,0.8353024352255173,,,-9725.0,-98.0,W中金财富
CF,CF2505,0.6968631003225831,-10463.0,-1917.0,-9930.0,-1761.0,W海通期货
CF,CF2509,0.9655246425622483,7333.0,-4482.0,-14928.0,-521.0,W国泰君安
CF,CF2509,0.8990454118652389,-45508.0,-70.0,-4514.0,265.0,W银河期货
CF,CF2509,-0.7450985109349645,,,835.0,49.0,L徽商期货
CF,CF2509,-0.8327028500747383,6593.0,1023.0,500.0,59.0,L中泰期货
CF,CF2509,-0.8364497737122032,-1504.0,1558.0,429.0,109.0,L广发期货
CF,CF2509,-0.9021507755629022,-5223.0,3690.0,966.0,-83.0,W东证期货
CF,CF2509,-0.9027126516873422,,,563.0,7.0,L南华期货
CF,CF2509,-0.9447844326350376,3309.0,576.0,532.0,-3.0,L新湖期货
CF,CF2509,-0.9502557847077219,,,1335.0,182.0,L中信建投
CF,CF2509,-0.9561837424635883,8393.0,4127.0,7557.0,574.0,W永安期货
CJ,CJ2505,0.6961492395689541,-3751.0,-93.0,-2861.0,-117.0,W申银万国
CJ,CJ2505,0.6457970022812003,,,-1437.0,182.0,W海证期货
CS,CS2501,0.6831197302335488,-1987.0,-145.0,-800.0,856.0,W海证期货
CS,CS2503,0.8184362375178102,-12032.0,-1043.0,-12119.0,-1214.0,W东证期货
CS,CS2503,0.747468300230379,-6321.0,-163.0,-5353.0,-443.0,W中金财富
CS,CS2503,0.6976562972436078,-3196.0,15.0,-7838.0,221.0,L中泰期货
CS,CS2503,-0.6345285754930503,3221.0,-162.0,-236.0,100.0,L中信建投
CS,CS2503,-0.7625793500060328,-1987.0,-145.0,1633.0,-430.0,W海证期货
CS,CS2503,-0.8105346447459263,-2164.0,890.0,10638.0,2260.0,W国泰君安
CS,CS2503,-0.8165432906849768,5081.0,734.0,3975.0,797.0,L东方财富
CS,CS2505,0.8493089392841848,-1987.0,-145.0,-2820.0,-571.0,W海证期货
CS,CS2505,0.7932705618306796,-399.0,-19.0,-399.0,-19.0,W摩根大通
CS,CS2505,0.7911293690978004,-2164.0,890.0,-10434.0,-474.0,W国泰君安
CS,CS2505,-0.6566237696622755,7085.0,591.0,5299.0,619.0,L广发期货
CS,CS2505,-0.6786794745676368,2368.0,93.0,1731.0,116.0,L徽商期货
CS,CS2505,-0.7171841812206279,-3196.0,15.0,1346.0,170.0,L中泰期货
CU,CU2504,0.7124611782490307,-652.0,-557.0,-513.0,-214.0,W国泰君安
CU,CU2504,-0.705056525292802,-4054.0,-1105.0,-582.0,10.0,W东证期货
EB,EB2503,0.8755590543616448,1362.0,-7.0,1568.0,23.0,L中泰期货
EB,EB2503,0.7520332815269284,2291.0,-217.0,-136.0,-16.0,L徽商期货
EB,EB2503,0.7076157644887566,-1474.0,-6232.0,6819.0,163.0,W东证期货
EB,EB2503,0.6191376947968019,-130.0,-111.0,-130.0,-111.0,L广发期货
EB,EB2503,-0.6835273749971901,-93.0,20.0,-93.0,20.0,L中信建投
EG,EG2501,-0.6441252987079041,1263.0,493.0,1263.0,493.0,L国海良时
FG,FG2509,-0.6913162482637782,-38679.0,5495.0,1077.0,-241.0,W国泰君安
FG,FG2509,-0.709553462446173,8883.0,2798.0,1833.0,58.0,W东证期货
FG,FG2509,-0.71994635974564,-19509.0,2862.0,1814.0,-22.0,W永安期货
I,I2501,-0.6219145379283378,748.0,48.0,462.0,40.0,L中泰期货
I,I2501,-0.8145239321809935,-1259.0,795.0,-1509.0,833.0,W海证期货
I,I2503,0.8010353527962651,4415.0,-152.0,265.0,10.0,W海通期货
I,I2503,0.6356963874537622,-1259.0,795.0,250.0,-38.0,W海证期货
I,I2503,-0.6681200604302991,-2414.0,506.0,-515.0,20.0,W永安期货
I,I2503,-0.8108519407852455,-842.0,208.0,-1017.0,-6.0,L宏源期货
JD,JD2502,0.886291849509504,5423.0,-1656.0,2457.0,-941.0,W国泰君安
JD,JD2502,0.7786601765385395,3760.0,-1516.0,2241.0,-1046.0,W东证期货
JD,JD2502,0.7562637776051285,1452.0,-164.0,1346.0,-227.0,W永安期货
JD,JD2502,0.6710797008485372,3899.0,-280.0,3049.0,-173.0,L中信建投
JD,JD2502,0.6654061689968267,30.0,-1281.0,30.0,-1281.0,W海通期货
JD,JD2502,-0.6263119217362005,-2456.0,311.0,-1079.0,377.0,L中泰期货
JD,JD2502,-0.7462261169203207,376.0,-44.0,-763.0,301.0,L徽商期货
JD,JD2502,-0.7793557171436816,-2773.0,-173.0,-1895.0,21.0,L华安期货
JD,JD2503,0.6102596352712197,5423.0,-1656.0,1968.0,-443.0,W国泰君安
JD,JD2503,-0.611215506607175,-2456.0,311.0,-1380.0,-62.0,L中泰期货
JD,JD2504,0.6773183045805846,1140.0,507.0,567.0,160.0,W申银万国
JD,JD2506,-0.6065450430696113,-1036.0,764.0,-1166.0,-46.0,W银河期货
JD,JD2506,-0.619594201290747,3094.0,48.0,777.0,11.0,L广发期货
JD,JD2506,-0.7730471887922225,-1113.0,-114.0,97.0,31.0,L南华期货
L,L2501,0.6298903023836362,-345.0,-173.0,2772.0,-262.0,W海通期货
L,L2502,-0.6826618170706301,-83.0,0.0,-83.0,0.0,L徽商期货
L,L2505,-0.6304163181527986,-9184.0,37.0,-9184.0,37.0,L广发期货
L,L2505,-0.661085959634298,-19684.0,839.0,-14495.0,-108.0,L中泰期货
LC,LC2501,-0.6562689593067489,1921.0,-117.0,1882.0,-159.0,L国海良时
LC,LC2502,0.8727638749560307,-1051.0,86.0,-577.0,101.0,L中泰期货
LC,LC2502,0.8296922808692448,-1483.0,-856.0,1511.0,-155.0,W申银万国
LC,LC2502,-0.7771321754089373,-40.0,1098.0,-382.0,-64.0,L中信建投
LC,LC2503,0.6531498221441784,1921.0,-117.0,-479.0,129.0,L国海良时
LC,LC2504,0.8204029308955848,-1483.0,-856.0,-1310.0,25.0,W申银万国
LC,LC2504,0.8008140098226384,-17620.0,1292.0,-3500.0,-64.0,L广发期货
LC,LC2504,0.6208468613192366,-3079.0,64.0,1832.0,499.0,W海证期货
LC,LC2504,-0.6655368956047971,3928.0,-820.0,1533.0,-193.0,W东证期货
LC,LC2504,-0.727139192069771,73.0,221.0,1240.0,0.0,L新湖期货
LC,LC2504,-0.812024729702283,1921.0,-117.0,518.0,-87.0,L国海良时
LH,LH2501,0.7441841188453022,-99.0,88.0,-837.0,106.0,W东证期货
LH,LH2501,-0.6146769906510965,-1540.0,-1.0,-50.0,77.0,W永安期货
LH,LH2505,0.9689648542507695,-2650.0,97.0,-1514.0,12.0,W国泰君安
LH,LH2505,0.8562754729915891,-408.0,43.0,-968.0,131.0,L广发期货
LH,LH2505,0.8237696767531575,-1540.0,-1.0,-1490.0,-78.0,W永安期货
LH,LH2505,-0.8569448869362055,677.0,234.0,575.0,-48.0,L中信建投
LH,LH2505,-0.8810160427864493,-815.0,-46.0,-216.0,-26.0,L南华期货
LH,LH2505,-0.9393867605280455,1851.0,-271.0,911.0,-40.0,L东方财富
LH,LH2505,-0.9411204556362534,1256.0,-148.0,767.0,-43.0,L徽商期货
LH,LH2505,-0.9543818176436272,1299.0,-33.0,1112.0,14.0,W银河期货
M,M2501,0.7039384744127043,14882.0,225.0,4341.0,238.0,L新湖期货
M,M2501,-0.6096019086588375,-206.0,2287.0,-206.0,2287.0,W摩根大通
M,M2503,0.8469585732976439,-6858.0,-23.0,-5444.0,-493.0,W海证期货
M,M2503,0.7482201062138817,-6754.0,-559.0,-3146.0,-165.0,W海通期货
M,M2503,-0.6407163948355067,3209.0,-524.0,3209.0,-524.0,L华安期货
M,M2503,-0.6715482811979712,14109.0,1286.0,11225.0,-199.0,L南华期货
M,M2503,-0.7105602773830082,14882.0,225.0,10541.0,-13.0,L新湖期货
M,M2503,-0.7725704018060808,8994.0,-267.0,3624.0,-1087.0,L中泰期货
M,M2508,-0.819586178323743,-5967.0,342.0,1525.0,-18.0,L广发期货
MA,MA2501,0.6737466188021033,,,3397.0,31.0,W申银万国
MA,MA2502,0.7131453777182648,-14574.0,1045.0,5245.0,920.0,L新湖期货
MA,MA2502,0.6999714565857595,13035.0,1213.0,4708.0,-435.0,W永安期货
MA,MA2502,-0.6293628930938463,-11432.0,1700.0,-4419.0,258.0,W国泰君安
MA,MA2502,-0.7362643890058771,16982.0,-747.0,-1599.0,-359.0,W海通期货
MA,MA2503,-0.6568003511692495,13035.0,1213.0,-1022.0,27.0,W永安期货
MA,MA2503,-0.8382304414342161,-4690.0,-14.0,-610.0,-148.0,L中泰期货
MA,MA2505,0.7765707348914733,13035.0,1213.0,9942.0,1182.0,W永安期货
MA,MA2505,0.6623951216313662,16982.0,-747.0,13481.0,-661.0,W海通期货
MA,MA2505,0.6388967689141928,,,7675.0,902.0,L中信建投
MA,MA2505,-0.6973016977293821,-4690.0,-14.0,-2485.0,-1066.0,L中泰期货
MA,MA2509,0.8110487254369076,29463.0,6194.0,8363.0,200.0,W乾坤期货
MA,MA2509,-0.6809385959898824,-4690.0,-14.0,-1746.0,-70.0,L中泰期货
MA,MA2509,-0.7057670307027828,-2038.0,-134.0,-651.0,30.0,L广发期货
MA,MA2509,-0.8720136385868568,-1241.0,-733.0,1421.0,-14.0,L徽商期货
OI,OI2501,0.6657637464368424,9028.0,-153.0,273.0,125.0,L广发期货
OI,OI2505,0.6270726644342185,-15008.0,-2975.0,-13762.0,-2975.0,W乾坤期货
OI,OI2505,-0.6138969444418325,,,3912.0,714.0,L华安期货
OI,OI2505,-0.791410162623321,27485.0,165.0,26361.0,190.0,W永安期货
P,P2501,0.7176646017815718,16596.0,-7675.0,5172.0,-1360.0,W国泰君安
P,P2501,0.6488623565218686,-16883.0,-1404.0,-1696.0,-329.0,L广发期货
P,P2505,-0.6510303451136037,5634.0,0.0,5127.0,-5.0,W中金财富
P,P2505,-0.7094778273123528,-8759.0,332.0,-7077.0,264.0,L新湖期货
P,P2509,-0.6661313371403438,-5930.0,-948.0,-1534.0,-45.0,L宏源期货
PB,PB2501,0.8790480006778969,1281.0,116.0,-298.0,8.0,W中金财富
PB,PB2501,0.8511614038244035,512.0,-463.0,216.0,-372.0,W东证期货
PB,PB2501,0.6938193567963891,-433.0,87.0,-433.0,87.0,W海证期货
PB,PB2501,0.6243594592637802,180.0,-352.0,915.0,-500.0,W海通期货
PB,PB2501,0.6072087187383666,947.0,1697.0,2110.0,917.0,W国泰君安
PB,PB2502,-0.6806107868042304,512.0,-463.0,296.0,-91.0,W东证期货
PF,PF2501,0.6321782882370599,,,54.0,0.0,W海证期货
PF,PF2502,0.7016450948890302,19305.0,944.0,17850.0,619.0,W乾坤期货
PF,PF2503,0.7411740523927781,-6701.0,-1748.0,815.0,-849.0,L南华期货
PF,PF2503,0.6001582602828434,1015.0,179.0,449.0,13.0,W海通期货
PG,PG2503,-0.7630727351050023,114.0,5.0,114.0,5.0,L广发期货
PK,PK2501,-0.6657230476940232,,,-665.0,-53.0,L新湖期货
PK,PK2503,0.9392976636290333,-18766.0,90.0,-18301.0,-102.0,W摩根大通
PK,PK2503,0.9028568632001424,,,-2370.0,12.0,W中金财富
PK,PK2503,0.8950283739208074,,,-1852.0,423.0,W海通期货
PK,PK2503,0.8636113298198388,-14635.0,-668.0,-14575.0,-675.0,W乾坤期货
PK,PK2503,0.8309340003334379,-3026.0,301.0,-1641.0,198.0,W银河期货
PK,PK2503,0.6941366709525163,-1791.0,837.0,-472.0,1240.0,W国泰君安
PK,PK2503,-0.7618161952886006,5631.0,-51.0,5173.0,14.0,L国海良时
PK,PK2505,0.6067381717655964,1231.0,164.0,663.0,-83.0,W永安期货
PK,PK2505,-0.7439414948266341,3380.0,-648.0,996.0,-54.0,L徽商期货
PK,PK2505,-0.8931842862020302,,,726.0,-94.0,L东方财富
PX,PX2502,0.7353389445742915,-100.0,-148.0,128.0,0.0,W海证期货
PX,PX2502,-0.6459914578038489,,,-268.0,-27.0,L徽商期货
PX,PX2502,-0.670444642128753,,,-580.0,-202.0,L宏源期货
PX,PX2505,0.7098312076344034,-100.0,-148.0,707.0,151.0,W海证期货
RM,RM2503,0.7051534350593014,-123729.0,-6901.0,-27808.0,-847.0,W乾坤期货
RM,RM2503,0.61332154909751,24387.0,-247.0,-17395.0,-535.0,L广发期货
RM,RM2503,-0.6111421901108688,,,7155.0,-129.0,L中信建投
RM,RM2503,-0.6682567587153038,,,3420.0,36.0,L国海良时
RM,RM2503,-0.6807064298946482,10230.0,-1076.0,6295.0,576.0,W银河期货
RM,RM2503,-0.7078898310878924,-13635.0,-146.0,6172.0,-233.0,W海证期货
RM,RM2503,-0.7229922444361576,25090.0,1533.0,9906.0,1120.0,W永安期货
RM,RM2505,0.9083156829031916,-13635.0,-146.0,-9995.0,-458.0,W海证期货
RM,RM2505,0.8197749569216723,,,-8633.0,-181.0,W中金财富
RM,RM2505,0.6889572424439467,-123729.0,-6901.0,-95756.0,-6202.0,W乾坤期货
RM,RM2505,0.6636509722315374,-114350.0,-5360.0,-111695.0,-5425.0,W摩根大通
RM,RM2505,0.6461229629589818,-21419.0,1986.0,-20125.0,2222.0,W东证期货
RM,RM2505,-0.6253869458026555,20968.0,1011.0,13446.0,656.0,L徽商期货
RM,RM2505,-0.6677628320154919,25090.0,1533.0,12276.0,589.0,W永安期货
RM,RM2507,0.8890935217232461,-27422.0,-2140.0,337.0,-4.0,W海通期货
RM,RM2507,-0.6238459913853285,,,311.0,37.0,W申银万国
RM,RM2507,-0.8800013917218044,24387.0,-247.0,874.0,11.0,L广发期货
RM,RM2509,0.765779759287666,,,-3904.0,0.0,L宏源期货
RM,RM2509,0.6834943237312141,19849.0,-156.0,-364.0,-26.0,L南华期货
RM,RM2509,0.6628706275788729,-114350.0,-5360.0,-2455.0,65.0,W摩根大通
RU,RU2509,0.6987517118933525,1431.0,-1035.0,266.0,-158.0,W永安期货
RU,RU2509,0.6254941748476033,-244.0,-922.0,1243.0,-13.0,W银河期货
RU,RU2509,-0.7194565262021969,-3760.0,871.0,-570.0,-68.0,W东证期货
SA,SA2502,-0.7371444222054727,-252.0,532.0,2290.0,493.0,W银河期货
SA,SA2502,-0.8205712681623516,-29268.0,-1486.0,594.0,-12.0,L南华期货
SA,SA2503,0.616734286044686,-29268.0,-1486.0,-3175.0,386.0,L南华期货
SA,SA2503,-0.6258226055719931,-65841.0,2434.0,430.0,-176.0,W永安期货
SA,SA2505,0.6131112088826877,-25529.0,-2352.0,-21364.0,-2302.0,W海通期货
SA,SA2505,-0.6426886223413697,10403.0,770.0,12300.0,2291.0,L中泰期货
SA,SA2509,0.9230792478201207,-29268.0,-1486.0,-7514.0,-486.0,L南华期货
SA,SA2509,0.8399497691297441,-25529.0,-2352.0,-1662.0,-16.0,W海通期货
SA,SA2509,0.6900800192588908,,,-765.0,-371.0,L新湖期货
SA,SA2509,-0.7625463776041044,10761.0,3200.0,453.0,30.0,L广发期货
SA,SA2509,-0.781395375686505,10403.0,770.0,2266.0,301.0,L中泰期货
SF,SF2505,0.6371145033347397,665.0,-159.0,-4936.0,-187.0,W海证期货
SF,SF2505,-0.6046684557618465,,,1575.0,395.0,L新湖期货
SH,SH2501,-0.6196866993203882,747.0,-126.0,671.0,-110.0,L中信建投
SH,SH2502,0.8760859763113998,-1168.0,135.0,-603.0,1.0,L中泰期货
SH,SH2502,0.7134580269703146,,,-308.0,-20.0,L广发期货
SH,SH2502,0.6583588494875036,-2758.0,-635.0,-129.0,-25.0,W东证期货
SH,SH2502,-0.6827763260020452,706.0,201.0,-3.0,-95.0,L南华期货
SH,SH2502,-0.8849148444322074,22.0,-463.0,216.0,42.0,W银河期货
SH,SH2502,-0.9201453939684238,1971.0,823.0,46.0,-14.0,W海通期货
SH,SH2505,0.7914920741334005,-2758.0,-635.0,-2739.0,-327.0,W东证期货
SH,SH2505,0.6008295542141029,-1168.0,135.0,-918.0,307.0,L中泰期货
SH,SH2505,-0.643647579690333,706.0,201.0,1244.0,348.0,L南华期货
SH,SH2505,-0.7768922450985366,5512.0,325.0,3985.0,475.0,W申银万国
SI,SI2502,0.8187072047660744,-2684.0,197.0,-1725.0,527.0,W永安期货
SI,SI2502,-0.7277431084804006,-2302.0,2.0,2282.0,-150.0,W海证期货
SI,SI2502,-0.7765021065063096,7841.0,-607.0,2861.0,-127.0,L广发期货
SI,SI2502,-0.8689266859468381,2698.0,97.0,1980.0,-252.0,L中信建投
SI,SI2503,0.8167484639003232,2698.0,97.0,-385.0,262.0,L中信建投
SI,SI2503,0.6925018200898136,-2302.0,2.0,-2107.0,-8.0,W海证期货
SI,SI2505,0.8808055090128515,783.0,103.0,-1119.0,-1.0,L新湖期货
SI,SI2505,0.8157608241010954,-2684.0,197.0,-2562.0,-16.0,W永安期货
SI,SI2505,0.6328231697252479,-2324.0,-688.0,-1934.0,-308.0,W海通期货
SI,SI2505,-0.6741804960215314,1164.0,-279.0,819.0,2.0,L中泰期货
SI,SI2505,-0.6944524566475172,5372.0,13.0,3957.0,1.0,L南华期货
SI,SI2505,-0.7207359159043405,1859.0,-154.0,932.0,-64.0,L徽商期货
SI,SI2505,-0.8753055677018101,7841.0,-607.0,1653.0,-95.0,L广发期货
SM,SM2505,0.7152923228406447,,,-2679.0,-752.0,W中金财富
SM,SM2505,-0.8066157236237287,,,3280.0,59.0,L徽商期货
SN,SN2501,0.6879684115580389,301.0,-131.0,580.0,82.0,W东证期货
SN,SN2501,0.6474327758315925,426.0,59.0,426.0,59.0,W海通期货
SN,SN2501,-0.7723409606425948,1022.0,45.0,767.0,-13.0,L中信建投
SN,SN2501,-0.8750133342978366,-159.0,-124.0,75.0,-123.0,L中泰期货
SN,SN2501,-0.8850700549976936,194.0,87.0,471.0,-85.0,L南华期货
SN,SN2502,0.8167698635717336,619.0,-331.0,1444.0,-60.0,W国泰君安
SN,SN2502,-0.6339964296892633,-159.0,-124.0,-234.0,-1.0,L中泰期货
SN,SN2502,-0.8681512164626066,194.0,87.0,-277.0,172.0,L南华期货
SR,SR2501,-0.7273672740353264,,,528.0,-111.0,L南华期货
SR,SR2503,0.6644265422181883,,,442.0,466.0,W申银万国
SR,SR2503,-0.6002060332395946,2004.0,-1477.0,-3035.0,-672.0,W海通期货
SR,SR2505,0.7625386230958426,2004.0,-1477.0,4800.0,38.0,W海通期货
SR,SR2505,0.71352848225591,-5097.0,-4733.0,-5233.0,-4730.0,W东证期货
SR,SR2509,0.7014076818821657,-4792.0,-1137.0,-800.0,3.0,W永安期货
TA,TA2503,0.798646861131482,22679.0,402.0,1348.0,-28.0,L南华期货
TA,TA2505,0.7894933634734005,24003.0,-471.0,-10008.0,-686.0,W海通期货
TA,TA2509,-0.7717901823265717,-16530.0,606.0,57.0,41.0,L徽商期货
UR,UR2501,0.7196300288675519,4305.0,-105.0,627.0,-456.0,L东方财富
UR,UR2505,0.92345131882802,-6984.0,-406.0,-6443.0,-592.0,W中金财富
UR,UR2505,0.8374031053296823,-6446.0,-1356.0,-5739.0,-1331.0,W海通期货
UR,UR2505,0.8100448913636663,-11779.0,-1014.0,-7405.0,-537.0,W国泰君安
UR,UR2505,0.6117312759063022,328.0,141.0,-3278.0,-264.0,L中信建投
UR,UR2505,-0.6222718847240728,4155.0,241.0,3367.0,583.0,L宏源期货
UR,UR2505,-0.6744057949147987,2865.0,-3398.0,2029.0,-3229.0,L徽商期货
UR,UR2505,-0.8042478177430303,4305.0,-105.0,3482.0,318.0,L东方财富
V,V2503,0.7104525020360943,610.0,50.0,610.0,50.0,W申银万国
V,V2503,0.6046891859288464,710.0,-442.0,710.0,-442.0,W海证期货
V,V2503,-0.7444987396316994,-864.0,-140.0,-365.0,53.0,W东证期货
Y,Y2501,0.8724590000085111,1192.0,-2610.0,1713.0,-2300.0,W摩根大通
Y,Y2501,-0.7104441958889737,3650.0,142.0,937.0,-15.0,L中泰期货
Y,Y2501,-0.8010233350367082,1943.0,2066.0,-1108.0,869.0,L新湖期货
ZN,ZN2501,0.8007521186859512,3828.0,-251.0,1452.0,-456.0,W中金财富
ZN,ZN2501,0.7562219420587114,2964.0,-324.0,2095.0,-351.0,L中信建投
ZN,ZN2502,0.8967534315498484,14570.0,-1417.0,8752.0,-1456.0,W乾坤期货
ZN,ZN2502,0.8499401408308708,2362.0,-3271.0,4872.0,-1666.0,W东证期货
ZN,ZN2502,0.6361465975797752,1687.0,-245.0,1687.0,-245.0,W海通期货
ZN,ZN2502,-0.6161135458662814,3828.0,-251.0,2376.0,205.0,W中金财富
ZN,ZN2502,-0.8726360478993684,-1350.0,400.0,-2385.0,-89.0,L宏源期货
ZN,ZN2503,0.6600688904013128,2362.0,-3271.0,699.0,-300.0,W东证期货
ZN,ZN2503,0.6314363228915814,457.0,15.0,457.0,15.0,L华安期货
ZN,ZN2503,-0.6886328617649949,2832.0,-1296.0,-1774.0,-181.0,W国泰君安
ZN,ZN2503,-0.7235641692612695,-1350.0,400.0,1132.0,682.0,L宏源期货
ZN,ZN2503,-0.7654685610192551,-2032.0,-302.0,-592.0,-114.0,L南华期货
ZN,ZN2503,-0.7871046385662855,7689.0,117.0,-905.0,175.0,W永安期货
